,r,theta,x,y
240,14.0,1.423534171157875,2.0542266423750646,13.848471139506934
241,11.0,1.4105109873260295,1.7555988453671725,10.85899961755895
242,7.0,1.4083001550574934,1.1324739758693538,6.907785657790683
243,12.0,1.3962634015954636,2.083778132003165,11.817693036146496
244,8.0,1.3859967589366733,1.4699961425325643,7.863784797471214
245,13.0,1.3844306609039767,2.408753413132486,12.774893619702773
246,14.0,1.3744467859455345,2.7312645082257965,13.730993925645226
247,9.0,1.3694121823340124,1.8002312439844002,8.81811586838041
248,10.0,1.3565968276865017,2.125652895529766,9.771468659711594
249,11.0,1.3463968515384828,2.447730273519459,10.72420703400006
250,4.0,1.3463968515384828,0.8900837358252578,3.8997116487272945
251,12.0,1.3380857598623193,2.767390448909283,11.676538446957885
252,13.0,1.331183327792285,3.085247098324495,12.628588612441229
253,14.0,1.325359400733194,3.4017225186456956,13.580437544723615
254,5.0,1.3227758541430708,1.2274274357039963,4.847001329696652
255,6.0,1.3089969389957472,1.5529142706151244,5.79555495773441
256,7.0,1.2999693738992246,1.8726983697045467,6.7448499476345605
257,8.0,1.2935969750075618,2.189303920576664,7.694605145382552
258,9.0,1.2888585245496587,2.5039571752480745,8.64466300468235
259,10.0,1.28519699465037,2.8173255684142964,9.594929736144973
260,11.0,1.282282715750936,3.1298034529413568,10.545346383403267
261,12.0,1.279908118129175,3.441638792533084,11.495874147785866
262,13.0,1.277935994680594,3.752995315415072,12.44648649870607
263,14.0,1.2762720155208536,4.063985481562472,13.397164700250926
264,14.0,1.227184630308513,4.71645794749108,13.18161691256229
265,13.0,1.2246886615689025,4.410105259534392,12.229103466723434
266,12.0,1.2217304763960306,4.104241719908026,11.2763114494309
267,11.0,1.2181685799633892,3.7990155986343837,10.323152642547365
268,10.0,1.2137971616142382,3.4946417959909843,9.369497249997616
269,9.0,1.2083048667653051,3.19144398338282,8.415146184168734
270,8.0,1.2011971910784502,2.8899333294972243,7.4597778352348465
271,7.0,1.1916385927409558,2.590967087379402,6.502837038717539
272,14.0,1.1780972450961724,5.357568053111258,12.934313455158014
273,6.0,1.1780972450961724,2.296100594190539,5.54327719506772
274,13.0,1.171441328457211,5.054714281153169,11.97705571231537
275,12.0,1.1635528346628863,4.752957192469883,11.018593282563288
276,5.0,1.1574288723751869,2.0084771232648477,4.578866633275287
277,11.0,1.1540544441758425,4.452616774346332,10.058538853173937
278,10.0,1.1423973285781066,4.154150130018865,9.096319953545184
279,14.0,1.1290098598838318,5.985771308023951,12.655850103728207
280,9.0,1.1277512089809514,3.858233052627488,8.13105391149344
281,4.0,1.121997376282069,1.7355349564702327,3.6038754716096766
282,13.0,1.1181939953455196,5.684995165965121,11.69105769222585
283,8.0,1.1087974071493387,3.5659068462123065,7.161306330840499
284,12.0,1.105375192929742,5.385590162405547,10.723591683880946
285,11.0,1.0899403083882955,5.087921192649189,9.752592370103
286,7.0,1.0833078115826873,3.278859084898531,6.18458431112216
287,14.0,1.0799224746714913,6.599554315563969,12.34689770087697
288,10.0,1.0709974955419748,4.79248986720057,8.776789895672556
289,13.0,1.0649466622338282,6.2991613143244525,11.371920098915497
290,12.0,1.0471975511965976,6.000000000000002,10.392304845413264
291,9.0,1.0471975511965976,4.500000000000001,7.794228634059947
292,6.0,1.0471975511965976,3.000000000000001,5.196152422706632
293,14.0,1.030835089459151,7.1974384187051035,12.00820054000381
294,11.0,1.0258261726007487,5.702318251415777,9.406570393058807
295,8.0,1.0163976232202272,4.211457303018847,6.801737085836913
296,13.0,1.0116993291221368,6.895471805556653,11.020547562565723
297,10.0,0.9995976625058433,5.406408174555977,8.412535328311812
298,5.0,0.992081890607303,2.7347407906121344,4.185832391312642
